id,name,area,category,conversation_level,description,notes,reference,instagram
spot_001,観光案内所（風待ちの広場）,東野,info,high,"島の中心的な観光案内所。地元の情報やイベントの最新情報がもらえる。","不定休・イベント情報は案内所で要確認","観光協会風待ちナビ",""
spot_002,Shiki Farm Shiki Café,大崎,cafe,high,"果物農園Shiki Farmのカフェ。季節の果実を使ったスイーツやドリンク、芝生のスペースでのんびり過ごせる。","営業日はSNS等で確認推奨","Shiki Farm公式",""
spot_003,ミカタカフェ,大崎,cafe,medium,"高校生発のカフェ＋イベントスペース。コーヒーやスイーツで島時間を楽しめる。","最新営業はSNS/公式で確認推奨","ミカタカフェ公式",""
spot_004,takemoto curry,大崎,food,medium,"島の野菜とスパイスを使ったスパイスカレーのお店。ランチ人気。","木・土・日曜日営業との情報ありが変動あり","風待ちの島ナビ",""
spot_005,Kumata,東野,food,medium,"東野エリアの和食レストラン。季節の御膳や地元食材料理を楽しめる。","営業日・時間は店舗に要確認","食べログ情報",""
spot_006,陶（珈琲 陶）,大崎,cafe,medium,"島の喫茶店。コーヒーと軽食を提供。","情報は少なく、現地確認推奨","食べログ情報",""
spot_007,ShikiFarmマルシェ,大崎,market,medium,"Shiki Farmのマルシェ。島の産直野菜や加工品を販売する。","季節によってラインナップ変更あり","Shiki Farm公式",""
spot_008,フィッシャーマンズマーケット,大崎,market,medium,"地元海産物を扱うマーケット的スポット。新鮮な魚介が魅力。","開催・在庫は日による","観光協会MAP",""
spot_009,大串朝市,大崎,market,medium,"週末などに開かれる朝市。地元の農産物・海産物が並ぶ。","開催日はカレンダー確認推奨","観光MAP",""
spot_010,東野 千代,東野,shop,low,"東野地区の商店。島の人との会話やお菓子類等の購入ができる可能性あり。","詳細営業時間は直接確認","観光協会",""
spot_011,東野 浜本商店,東野,shop,low,"地元商店。島の暮らしに触れられる小さなお店。","営業時間は現地/連絡先確認推奨","観光協会",""
spot_012,東野 花崎商店,東野,shop,low,"昔ながらの商店。島の食や日用品を扱う。","SNS/現地確認推奨","観光協会",""
spot_013,東野 HOGARAKA,東野,shop,low,"雑貨・体験系のショップ。小物や島の暮らし系商品があるかも。","詳細はSNS/現地で","観光協会",""
spot_014,東野 PORTAL,東野,shop,medium,"東野にある交流スペース・ショップ。地域の情報拠点としても面白い。","営業日要確認","観光協会",""
spot_015,大崎 岡本酒店,大崎,shop,low,"地元の酒店。お土産購入や島の人との会話があるかもしれない。","詳細営業は現地確認","観光協会",""
spot_016,大崎 青木ミート,大崎,shop,low,"精肉店。島の食文化を知るきっかけに。","最新営業時間は現地/店舗確認","観光協会",""
spot_017,大崎 秀ちゃん農園,大崎,farm,medium,"地元農園。野菜・果物の生産体験・販売をしている可能性あり。","訪問前に連絡確認推奨","観光協会",""
spot_018,大崎 トイセンター松原,大崎,shop,low,"雑貨・日用品系の地元商店。","営業時間要確認","観光協会",""
spot_019,木江 悠,木江,shop,low,"木江地区のショップ。島の暮らし系商品を扱う可能性あり。","確認推奨","観光協会",""
spot_020,木江 沖浦ショップ,木江,shop,low,"木江地区のショップ。","確認推奨","観光協会",""
spot_021,木江 明石ストアー,木江,shop,low,"古くからある木江の商店。","確認推奨","観光協会",""
spot_022,Okushi Campsite & Beach,大崎,nature,medium,"大崎上島の人気ビーチ＆キャンプ場。海水浴・カヤック等のアクティビティが楽しめる。","アクティビティは季節/時間で変動あり","観光情報",""
spot_023,Kinoe Onsen Hotel Seifukan,大崎,onsen,medium,"瀬戸内海を見渡せる絶景温泉付きホテル。休憩・宿泊利用で島の自然を満喫。","営業状況は施設公式確認推奨","観光情報",""
